title,grade,grade_in_symbol,subject,language,language_code,chapter_id,link,thumbnail
Pictograph,one,1,math,English,en,matden01,start.html?id=matden01&lang=en&grade=1,images/thumb/math/pictograph-Gr-101.png
Multiplication,one,1,math,English,en,matmun01,start.html?id=matmun01&lang=en&grade=1,images/thumb/math/multiplication_gr-101.png
Multiplication Table,one,1,math,English,en,matmut01,start.html?id=matmut01&lang=en&grade=1,images/thumb/math/multiplication-table-gr-1_01.png
Basic Division,one,1,math,English,en,matdiv01,start.html?id=matdiv01&lang=en&grade=1,images/thumb/math/basic-divisionGr-101.png
Capacity,one,1,math,English,en,matcpt01,start.html?id=matcpt01&lang=en&grade=1,images/thumb/math/capacityGr101.png
Fraction,one,1,math,English,en,matfac01,start.html?id=matfac01&lang=en&grade=1,images/thumb/math/fraction_gr101.png
ज्यामितीय आकारहरू,one,1,math,Nepali,ne,matgsn01,start.html?id=matgsn01&lang=np&grade=1,images/thumb/math/geometry.png
१ देखि ५ सम्मका सङ्ख्याहरू,one,1,math,Nepali,ne,matnmb01,start.html?id=matnmb01&lang=np&grade=1,images/thumb/math/number1-5-gr-1-01.png
सरल जोड,one,1,math,Nepali,ne,matadt01,start.html?id=matadt01&lang=np&grade=1,images/thumb/math/basic-additionGr-101.png
२० सम्मका सङ्ख्याको घटाउ,one,1,math,Nepali,ne,matbst01,start.html?id=matbst01&lang=np&grade=1,images/thumb/math/basic_subtraction_out_thumb_en.png
एक देखि बिससम्म,one,1,math,Nepali,ne,matott01,start.html?id=matott01&lang=np&grade=1,images/thumb/math/one_twenty.png
तीनओटा सङ्ख्‍याहरूको जोड,one,1,math,Nepali,ne,matahn01,start.html?id=matahn01&lang=np&grade=1,images/thumb/math/adding_three_numbers_Gr-1-01.png
जोर र बिजोर,one,1,math,Nepali,ne,matoen01,start.html?id=matoen01&lang=np&grade=1,images/thumb/math/odd-and_even.png
क्रमागत सङ्ख्याहरू,one,1,math,Nepali,ne,matonn01,start.html?id=matonn01&lang=np&grade=1,images/thumb/math/ordinal_outside_thumb.png
सय सम्‍मको जोड,one,1,math,Nepali,ne,matauh01,start.html?id=matauh01&lang=np&grade=1,images/thumb/math/adding_up_to_hudred_GR-1-01.png
दुई अङ्‍कका सङ्ख्याहरूको घटाउ,one,1,math,Nepali,ne,matssd01,start.html?id=matssd01&lang=np&grade=1,images/thumb/math/substraction-Gr-1-01_en.png
१-५० सम्म गनौँ,one,1,math,Nepali,ne,matnfn01,start.html?id=matnfn01&lang=np&grade=1,images/thumb/math/one_to_fifty.png
५0 देखि १०० सम्मका सङ्ख्याहरू,one,1,math,Nepali,ne,matnhn01,start.html?id=matnhn01&lang=np&grade=1,images/thumb/math/Thumbnail_Math_Gr_1_Numbers50-100_01.png
समय,one,1,math,Nepali,ne,matntm01,start.html?id=matntm01&lang=np&grade=1,images/thumb/math/time1_cover.png
लम्बाईको नाप,one,1,math,Nepali,ne,matmea01,start.html?id=matmea01&lang=np&grade=1,images/thumb/math/measurementGr101.png
चित्रग्राफ,one,1,math,Nepali,ne,matden01,start.html?id=matden01&lang=np&grade=1,images/thumb/math/pictograph-Gr-101.png
गुणन,one,1,math,Nepali,ne,matmun01,start.html?id=matmun01&lang=np&grade=1,images/thumb/math/multiplication_gr-101.png
गुणन तालिका,one,1,math,Nepali,ne,matmut01,start.html?id=matmut01&lang=np&grade=1,images/thumb/math/multiplication-table-gr-1_01.png
सरल भाग,one,1,math,Nepali,ne,matdiv01,start.html?id=matdiv01&lang=np&grade=1,images/thumb/math/basic-divisionGr-101.png
क्षमता,one,1,math,Nepali,ne,matcpt01,start.html?id=matcpt01&lang=np&grade=1,images/thumb/math/capacityGr101.png
भिन्‍न,one,1,math,Nepali,ne,matfac01,start.html?id=matfac01&lang=np&grade=1,images/thumb/math/fraction_gr101.png
Introducing Ourselves,one,1,science,English,en,sciios01,start.html?id=sciios01&lang=en&grade=1,images/thumb/science/introducing_ourselves.png
Clothes we wear,one,1,science,English,en,scicww01,start.html?id=scicww01&lang=en&grade=1,images/thumb/science/thumnail_gr_1_hamro_pahiran01.png
Our Food,one,1,science,English,en,scihkk01,start.html?id=scihkk01&lang=en&grade=1,images/thumb/science/hamro_khaneykura.png
Objects at home,one,1,science,English,en,scioah01,start.html?id=scioah01&lang=en&grade=1,images/thumb/science/objects_at_home_outside_thumb.png
Animal body parts,one,1,science,English,en,sciabp01,start.html?id=sciabp01&lang=en&grade=1,images/thumb/science/animal-body-parts-Gr-1_01.png
Animals with Horns and Tails,one,1,science,English,en,sciawt01,start.html?id=sciawt01&lang=en&grade=1,images/thumb/science/animals-with-horns-and-tails-Gr-1_01.png
Animals with Wings,one,1,science,English,en,sciaww01,start.html?id=sciaww01&lang=en&grade=1,images/thumb/science/animals-with-wings-Gr-101.png
Sounds Around Us,one,1,science,English,en,scisau01,start.html?id=scisau01&lang=en&grade=1,images/thumb/science/sound_thumb.png
Babies of Animals,one,1,science,English,en,sciboa01,start.html?id=sciboa01&lang=en&grade=1,images/thumb/science/babies--of-animals--Gr-1-01.png
Grass and Flesh Eating Animals,one,1,science,English,en,scigfa01,start.html?id=scigfa01&lang=en&grade=1,images/thumb/science/grass-and-flesh-eating-animals-Gr-101.png
Learning about plants,one,1,science,English,en,scilap01,start.html?id=scilap01&lang=en&grade=1,images/thumb/science/thumbnail_learning_about_plants.png
Parts of a plant,one,1,science,English,en,scipop01,start.html?id=scipop01&lang=en&grade=1,images/thumb/science/parts-of-a-plant-Gr-1-01.png
Care of Animals and Plants,one,1,science,English,en,scicap01,start.html?id=scicap01&lang=en&grade=1,images/thumb/science/care-of-animals-and-plants-Gr-101.png
Living and Non Living Things,one,1,science,English,en,scilnn01,start.html?id=scilnn01&lang=en&grade=1,images/thumb/science/living_non_living_thumb.png
Let's Clean,one,1,science,English,en,scicnl01,start.html?id=scicnl01&lang=en&grade=1,images/thumb/science/lets_clean_outside_thumb.png
Surrounding Objects,one,1,science,English,en,scisro01,start.html?id=scisro01&lang=en&grade=1,images/thumb/science/thumnail_gr01_things_around_us01.png
Properties of things,one,1,science,English,en,sciptt01,start.html?id=sciptt01&lang=en&grade=1,images/thumb/science/thumbnail_front.png
Shapes and Sizes,one,1,science,English,en,sciifs01,start.html?id=sciifs01&lang=en&grade=1,images/thumb/science/identifying_shapes_and_sizes_gr-101.png
Communication,one,1,science,English,en,scican01,start.html?id=scican01&lang=en&grade=1,images/thumb/science/thumbnail_communication_new.png
Land transport,one,1,science,English,en,sciltp01,start.html?id=sciltp01&lang=en&grade=1,images/thumb/science/means_of_transportation_2.png
Types of transport,one,1,science,English,en,scimtt01,start.html?id=scimtt01&lang=en&grade=1,images/thumb/science/thumnail_gr_1_transportation_01.png
Let's go to the Market,one,1,science,English,en,scimrn01,start.html?id=scimrn01&lang=en&grade=1,images/thumb/science/thumbnail_grade1_science_market_01.png
Weather,one,1,science,English,en,sciwth01,start.html?id=sciwth01&lang=en&grade=1,images/thumb/science/weather_gr1_01.png
Water,one,1,science,English,en,sciwer01,start.html?id=sciwer01&lang=en&grade=1,images/thumb/science/water_outside_thumbnail.png
परिचय गरौँ,one,1,science,Nepali,ne,sciios01,start.html?id=sciios01&lang=np&grade=1,images/thumb/science/introducing_ourselves.png
हाम्रो पहिरन,one,1,science,Nepali,ne,scicww01,start.html?id=scicww01&lang=np&grade=1,images/thumb/science/thumnail_gr_1_hamro_pahiran01.png
हाम्रो खानेकुरा,one,1,science,Nepali,ne,scihkk01,start.html?id=scihkk01&lang=np&grade=1,images/thumb/science/hamro_khaneykura.png
घरका सामानहरू,one,1,science,Nepali,ne,scioah01,start.html?id=scioah01&lang=np&grade=1,images/thumb/science/objects_at_home_outside_thumb.png
जनावरको शरीरका अङ्गहरू,one,1,science,Nepali,ne,sciabp01,start.html?id=sciabp01&lang=np&grade=1,images/thumb/science/animal-body-parts-Gr-1_01.png
सिङ तथा पुच्‍छर भएका जनावरहरू,one,1,science,Nepali,ne,sciawt01,start.html?id=sciawt01&lang=np&grade=1,images/thumb/science/animals-with-horns-and-tails-Gr-1_01.png
पखेटा भएका जनावरहरू,one,1,science,Nepali,ne,sciaww01,start.html?id=sciaww01&lang=np&grade=1,images/thumb/science/animals-with-wings-Gr-101.png
वरपरका आवाजहरू,one,1,science,Nepali,ne,scisau01,start.html?id=scisau01&lang=np&grade=1,images/thumb/science/sound_thumb.png
जनावरका बच्‍चाहरू,one,1,science,Nepali,ne,sciboa01,start.html?id=sciboa01&lang=np&grade=1,images/thumb/science/babies--of-animals--Gr-1-01.png
घा‍ँस खाने र मासु खाने जनावर,one,1,science,Nepali,ne,scigfa01,start.html?id=scigfa01&lang=np&grade=1,images/thumb/science/grass-and-flesh-eating-animals-Gr-101.png
बोटबिरुवाबारे सिकौँ,one,1,science,Nepali,ne,scilap01,start.html?id=scilap01&lang=np&grade=1,images/thumb/science/thumbnail_learning_about_plants.png
बिरुवाका विभिन्‍न भागहरू,one,1,science,Nepali,ne,scipop01,start.html?id=scipop01&lang=np&grade=1,images/thumb/science/parts-of-a-plant-Gr-1-01.png
जनावर र बिरूवाको हेरचाह,one,1,science,Nepali,ne,scicap01,start.html?id=scicap01&lang=np&grade=1,images/thumb/science/care-of-animals-and-plants-Gr-101.png
सजीव र निर्जीव,one,1,science,Nepali,ne,scilnn01,start.html?id=scilnn01&lang=np&grade=1,images/thumb/science/living_non_living_thumb.png
सरसफाइ गरौँ,one,1,science,Nepali,ne,scicnl01,start.html?id=scicnl01&lang=np&grade=1,images/thumb/science/lets_clean_outside_thumb.png
वरपरका वस्‍तुहरू,one,1,science,Nepali,ne,scisro01,start.html?id=scisro01&lang=np&grade=1,images/thumb/science/thumnail_gr01_things_around_us01.png
वस्तुका गुणहरू,one,1,science,Nepali,ne,sciptt01,start.html?id=sciptt01&lang=np&grade=1,images/thumb/science/thumbnail_front.png
आकार र साइज,one,1,science,Nepali,ne,sciifs01,start.html?id=sciifs01&lang=np&grade=1,images/thumb/science/identifying_shapes_and_sizes_gr-101.png
सञ्‍चार,one,1,science,Nepali,ne,scican01,start.html?id=scican01&lang=np&grade=1,images/thumb/science/thumbnail_communication_new.png
यातायातका साधन,one,1,science,Nepali,ne,sciltp01,start.html?id=sciltp01&lang=np&grade=1,images/thumb/science/means_of_transportation_2.png
यातायातका किसिम,one,1,science,Nepali,ne,scimtt01,start.html?id=scimtt01&lang=np&grade=1,images/thumb/science/thumnail_gr_1_transportation_01.png
बजार जाऔँ,one,1,science,Nepali,ne,scimrn01,start.html?id=scimrn01&lang=np&grade=1,images/thumb/science/thumbnail_grade1_science_market_01.png
मौसम,one,1,science,Nepali,ne,sciwth01,start.html?id=sciwth01&lang=np&grade=1,images/thumb/science/weather_gr1_01.png
पानी,one,1,science,Nepali,ne,sciwer01,start.html?id=sciwer01&lang=np&grade=1,images/thumb/science/water_outside_thumbnail.png
Basic sounds (I),one,1,english,English,en,engbs101,start.html?id=engbs101&lang=en&grade=1,images/grade2/english/Basic-Sounds-I-Gr-2-01.png
Basic sounds (II),one,1,english,English,en,engbs201,start.html?id=engbs201&lang=en&grade=1,images/thumb/english/Basic-Sounds-II-Gr-3-01.png
Basic sounds (III),one,1,english,English,en,engbs301,start.html?id=engbs301&lang=en&grade=1,images/thumb/english/basic-sounds-IIIGr-301.png
Identifying Letters (A to H),one,1,english,English,en,engil101,start.html?id=engil101&lang=en&grade=1,images/thumb/english/Identifying-Letters-I-gr101.png
Identifying Letters (I to P),one,1,english,English,en,engils01,start.html?id=engils01&lang=en&grade=1,images/thumb/english/identifying-letters-ii-gr101.png
Identifying Letters (Q to Z),one,1,english,English,en,engilt01,start.html?id=engilt01&lang=en&grade=1,images/thumb/english/identifying-letters-iii-gr101.png
Short Vowel Sounds,one,1,english,English,en,engsvs01,start.html?id=engsvs01&lang=en&grade=1,images/thumb/english/short-vowels-gr1-01.png
Making Words,one,1,english,English,en,engmkw01,start.html?id=engmkw01&lang=en&grade=1,images/thumb/english/making-words-gr1-01.png
Match sounds with words,one,1,english,English,en,engmsw01,start.html?id=engmsw01&lang=en&grade=1,images/thumb/english/thumbnail_eng-1_match_sounds_words01.png
Recognizing and Matching Shapes,one,1,english,English,en,engrms01,start.html?id=engrms01&lang=en&grade=1,images/grade3/english/recognizing-and-matching-gr101.png
Lines and Curves,one,1,english,English,en,englac01,start.html?id=englac01&lang=en&grade=1,images/thumb/english/lines-and-curves-gr101.png
Simple greetings,one,1,english,English,en,engsgs01,start.html?id=engsgs01&lang=en&grade=1,images/thumb/english/simple-greetings-gr1--01.png
Wave your hands,one,1,english,English,en,engwyh01,start.html?id=engwyh01&lang=en&grade=1,images/thumb/english/wave_your_hands_cover.png
Where is my friend?,one,1,english,English,en,engwhf01,start.html?id=engwhf01&lang=en&grade=1,images/thumb/english/where_is_my_friend_thumb.png
Describing colours and sizes,one,1,english,English,en,engdcs01,start.html?id=engdcs01&lang=en&grade=1,images/thumb/english/describing-colors-and-sizes-gr1-01.png
Numbers (1 - 10),one,1,english,English,en,engnum01,start.html?id=engnum01&lang=en&grade=1,images/thumb/english/numbers-(1-10)-gr101.png
I like to play,one,1,english,English,en,engilp01,start.html?id=engilp01&lang=en&grade=1,images/thumb/english/i_like_to_play.png
Friends and Festivals,one,1,english,English,en,engbim01,start.html?id=engbim01&lang=en&grade=1,images/thumb/english/friends_and_festival.png
क-ङ चिन,one,1,nepali,Nepali,ne,nepknc01,start.html?id=nepknc01&lang=np&grade=1,images/thumb/nepali/ka_nga_gr101.png
च-ञ चिन,one,1,nepali,Nepali,ne,nepntc01,start.html?id=nepntc01&lang=np&grade=1,images/thumb/nepali/cha_yu_gr101.png
ट-ण चिन,one,1,nepali,Nepali,ne,nepddc01,start.html?id=nepddc01&lang=np&grade=1,images/thumb/nepali/ta_aanda_gr101.png
त-न चिन,one,1,nepali,Nepali,ne,nepnrc01,start.html?id=nepnrc01&lang=np&grade=1,images/thumb/nepali/ta_nna_gr101.png
प-म चिन,one,1,nepali,Nepali,ne,nepsgc01,start.html?id=nepsgc01&lang=np&grade=1,images/thumb/nepali/pa_maa_gr101.png
य-व चिन,one,1,nepali,Nepali,ne,nepygc01,start.html?id=nepygc01&lang=np&grade=1,images/thumb/nepali/ja_sha_gr101.png
श-ज्ञ चिन,one,1,nepali,Nepali,ne,nepsgy01,start.html?id=nepsgy01&lang=np&grade=1,images/thumb/nepali/sa_gya_gr101.png
अ' देखि 'ई' सम्म चिनौँ,one,1,nepali,Nepali,ne,nepatn01,start.html?id=nepatn01&lang=np&grade=1,images/thumb/nepali/A_dekhi_eh.png
उ' देखि 'ए' सम्म चिनौँ,one,1,nepali,Nepali,ne,neputn01,start.html?id=neputn01&lang=np&grade=1,images/thumb/nepali/uh_dekhi_eh.png
ऐ' देखि 'अः' सम्म चिनौँ,one,1,nepali,Nepali,ne,nepytn01,start.html?id=nepytn01&lang=np&grade=1,images/thumb/nepali/eh_dekhi_anh.png
शब्द बनाउँदै पढौँ,one,1,nepali,Nepali,ne,nepsbp01,start.html?id=nepsbp01&lang=np&grade=1,images/thumb/nepali/Sabda_banaudai.png
शब्द र चित्र चिनौँ,one,1,nepali,Nepali,ne,nepspb01,start.html?id=nepspb01&lang=np&grade=1,images/thumb/nepali/shabda_ra_chitra_chinau_img.png
मेरो घर आँगन,one,1,nepali,Nepali,ne,nepmga01,start.html?id=nepmga01&lang=np&grade=1,images/thumb/nepali/mero_ghar_aagan_gr101.png
आधा अक्षर,one,1,nepali,Nepali,ne,nepaar01,start.html?id=nepaar01&lang=np&grade=1,images/thumb/nepali/aadha_aachar_gr101.png
छुकछुके रेल,one,1,nepali,Nepali,ne,nepppg01,start.html?id=nepppg01&lang=np&grade=1,images/thumb/nepali/purna_biram_gr101.png
टालाटुली बटुली,one,1,nepali,Nepali,ne,neptat01,start.html?id=neptat01&lang=np&grade=1,images/thumb/nepali/talatuli-batuli-Gr-101.png
उल्टो उमेश,one,1,nepali,Nepali,ne,nepuum01,start.html?id=nepuum01&lang=np&grade=1,images/thumb/nepali/ulto_umesh_gr101.png
मेरो काम,one,1,nepali,Nepali,ne,nepmka01,start.html?id=nepmka01&lang=np&grade=1,images/thumb/nepali/mero_kaam_gr101.png
सीताको घर,one,1,nepali,Nepali,ne,nepskg01,start.html?id=nepskg01&lang=np&grade=1,images/thumb/nepali/sita_ko_ghar_gr101.png
विद्यालयको पहिलो दिन,one,1,nepali,Nepali,ne,nepbpd01,start.html?id=nepbpd01&lang=np&grade=1,images/thumb/nepali/vidhyala_ko_pahilo_din_gr1_01.png
कुराकानी,one,1,nepali,Nepali,ne,nepkur01,start.html?id=nepkur01&lang=np&grade=1,images/thumb/nepali/kurakani-Gr101.png
Time,two,2,math,English,en,matstm01,start.html?id=matstm01&lang=en&grade=2,images/thumb/math/timeouterthumb.png
Twenty to hundred,two,2,math,English,en,matntn01,start.html?id=matntn01&lang=en&grade=2,images/thumb/math/twenty_hundred.png
Comparison of numbers,two,2,math,English,en,matcnn01,start.html?id=matcnn01&lang=en&grade=2,images/thumb/math/comparison_outsidethumbeng.png
Even and odd number,two,2,math,English,en,mateon01,start.html?id=mateon01&lang=en&grade=2,images/grade3/maths/Even-and-Odd-Number-Gr-3-01.png
Weight,two,2,math,English,en,matwtg01,start.html?id=matwtg01&lang=en&grade=2,images/thumb/math/weight-Gr-3-01.png
Addition,two,2,math,English,en,matadd01,start.html?id=matadd01&lang=en&grade=2,images/thumb/math/addition-Gr-2-01.png
Subtraction,two,2,math,English,en,matsub01,start.html?id=matsub01&lang=en&grade=2,images/thumb/math/subtraction_gr201.png
Length,two,2,math,English,en,matlnn01,start.html?id=matlnn01&lang=en&grade=2,images/thumb/math/length.png
Area,two,2,math,English,en,matarw01,start.html?id=matarw01&lang=en&grade=2,images/thumb/math/area_grade2_thumbnail.png
Multiplication by 0 and 10,two,2,math,English,en,matmun01,start.html?id=matmun01&lang=en&grade=2,images/thumb/math/Multiplication_II_gr_201.png
Sharing with fractions,two,2,math,English,en,matfrn01,start.html?id=matfrn01&lang=en&grade=2,images/thumb/math/sharing_with_fraction_outer_thumbnail.png
Geometric Shapes,two,2,math,English,en,matngs01,start.html?id=matngs01&lang=en&grade=2,images/thumb/math/geometricmenu.png
Bar Graph,two,2,math,English,en,matbgn01,start.html?id=matbgn01&lang=en&grade=2,images/thumb/math/bar-graphs-gr-2-01.png
Recognize Currency,two,2,math,English,en,matcrn01,start.html?id=matcrn01&lang=en&grade=2,images/thumb/math/currency.png
Multiplication Table,two,2,math,English,en,matmpl01,start.html?id=matmpl01&lang=en&grade=2,images/thumb/math/multiplication-table-gr-201.png
Multiplication of 2 digit numbers,two,2,math,English,en,matmlt01,start.html?id=matmlt01&lang=en&grade=2,images/thumb/math/Multiplication_III_gr_201.png
Multiplication Related Simple Word Problems,two,2,math,English,en,matmwp01,start.html?id=matmwp01&lang=en&grade=2,images/thumb/math/Multiplication_word_problem_gr_201.png
Multiplication as Repeated Addition,two,2,math,English,en,matmrl01,start.html?id=matmrl01&lang=en&grade=2,images/thumb/math/multiplication-(repeated-addition)-gr-201.png
Basic Division,two,2,math,English,en,matbdv01,start.html?id=matbdv01&lang=en&grade=2,images/thumb/math/basic-division_Gr2-01.png
Mathematical operations,two,2,math,English,en,matwdp01,start.html?id=matwdp01&lang=en&grade=2,images/thumb/math/Mathematical_operations.png
Order of Numbers,two,2,math,English,en,matodn01,start.html?id=matodn01&lang=en&grade=2,images/grade2/maths/order_of_no1.png
Place value of three digit numbers,two,2,math,English,en,matpvl01,start.html?id=matpvl01&lang=en&grade=2,images/grade2/maths/place-value-Gr-2-01.png
Set,two,2,math,English,en,matset01,start.html?id=matset01&lang=en&grade=2,images/thumb/math/set-Gr-201.png
Algebra,two,2,math,English,en,matalg01,start.html?id=matalg01&lang=en&grade=2,images/thumb/math/algebra-Gr-201.png
Fraction,two,2,math,English,en,matfra01,start.html?id=matfra01&lang=en&grade=2,images/thumb/math/fraction-Gr-201.png
समय,two,2,math,Nepali,ne,matstm01,start.html?id=matstm01&lang=np&grade=2,images/thumb/math/timeouterthumb.png
बिसदेखि सयसम्म,two,2,math,Nepali,ne,matntn01,start.html?id=matntn01&lang=np&grade=2,images/thumb/math/twenty_hundred.png
सङ्ख्याहरूको तुलना,two,2,math,Nepali,ne,matcnn01,start.html?id=matcnn01&lang=np&grade=2,images/thumb/math/comparison_outsidethumbeng.png
जोर र बिजोर,two,2,math,Nepali,ne,mateon01,start.html?id=mateon01&lang=np&grade=2,images/grade3/maths/Even-and-Odd-Number-Gr-3-01.png
तौल,two,2,math,Nepali,ne,matwtg01,start.html?id=matwtg01&lang=np&grade=2,images/thumb/math/weight-Gr-3-01.png
जोड,two,2,math,Nepali,ne,matadd01,start.html?id=matadd01&lang=np&grade=2,images/thumb/math/addition-Gr-2-01.png
घटाउ,two,2,math,Nepali,ne,matsub01,start.html?id=matsub01&lang=np&grade=2,images/thumb/math/subtraction_gr201.png
लम्बाइ,two,2,math,Nepali,ne,matlnn01,start.html?id=matlnn01&lang=np&grade=2,images/thumb/math/length.png
क्षेत्रफल,two,2,math,Nepali,ne,matarw01,start.html?id=matarw01&lang=np&grade=2,images/thumb/math/area_grade2_thumbnail.png
० र १० द्वारा गुणन,two,2,math,Nepali,ne,matmun01,start.html?id=matmun01&lang=np&grade=2,images/thumb/math/Multiplication_II_gr_201.png
भिन्‍न प्रयोग गरी बाडौँ,two,2,math,Nepali,ne,matfrn01,start.html?id=matfrn01&lang=np&grade=2,images/thumb/math/sharing_with_fraction_outer_thumbnail.png
ज्यामितीय आकारहरू,two,2,math,Nepali,ne,matngs01,start.html?id=matngs01&lang=np&grade=2,images/thumb/math/geometricmenu.png
स्‍तम्‍भ चित्र,two,2,math,Nepali,ne,matbgn01,start.html?id=matbgn01&lang=np&grade=2,images/thumb/math/bar-graphs-gr-2-01.png
मुद्रा चिनौँ,two,2,math,Nepali,ne,matcrn01,start.html?id=matcrn01&lang=np&grade=2,images/thumb/math/currency.png
गुणन तालिका,two,2,math,Nepali,ne,matmpl01,start.html?id=matmpl01&lang=np&grade=2,images/thumb/math/multiplication-table-gr-201.png
२ अङ्‌क भएका सङ्ख्याको गुणन,two,2,math,Nepali,ne,matmlt01,start.html?id=matmlt01&lang=np&grade=2,images/thumb/math/Multiplication_III_gr_201.png
गुणन सम्बन्धी सरल शाब्‍दिक समस्‍या,two,2,math,Nepali,ne,matmwp01,start.html?id=matmwp01&lang=np&grade=2,images/thumb/math/Multiplication_word_problem_gr_201.png
गुणन र जोडको सम्‍बन्‍ध,two,2,math,Nepali,ne,matmrl01,start.html?id=matmrl01&lang=np&grade=2,images/thumb/math/multiplication-(repeated-addition)-gr-201.png
सरल भाग,two,2,math,Nepali,ne,matbdv01,start.html?id=matbdv01&lang=np&grade=2,images/thumb/math/basic-division_Gr2-01.png
आधारभूत क्रियाहरू,two,2,math,Nepali,ne,matwdp01,start.html?id=matwdp01&lang=np&grade=2,images/thumb/math/Mathematical_operations.png
सङ्ख्याहरूको क्रम,two,2,math,Nepali,ne,matodn01,start.html?id=matodn01&lang=np&grade=2,images/grade2/maths/order_of_no1.png
तीन अङ्‌कले बनेका सङ्ख्याहरूको स्थानमान,two,2,math,Nepali,ne,matpvl01,start.html?id=matpvl01&lang=np&grade=2,images/grade2/maths/place-value-Gr-2-01.png
समूह,two,2,math,Nepali,ne,matset01,start.html?id=matset01&lang=np&grade=2,images/thumb/math/set-Gr-201.png
बीज गणित,two,2,math,Nepali,ne,matalg01,start.html?id=matalg01&lang=np&grade=2,images/thumb/math/algebra-Gr-201.png
भिन्न,two,2,math,Nepali,ne,matfra01,start.html?id=matfra01&lang=np&grade=2,images/thumb/math/fraction-Gr-201.png
Foods I eat,two,2,science,English,en,scifie01,start.html?id=scifie01&lang=en&grade=2,images/thumb/science/food-i-eat-Gr-2-01.png
Jobs We Do,two,2,science,English,en,scijwd01,start.html?id=scijwd01&lang=en&grade=2,images/thumb/science/jobs_we_do_thumb.png
Our Tools,two,2,science,English,en,sciots01,start.html?id=sciots01&lang=en&grade=2,images/thumb/science/our_tools.png
Personal hygiene,two,2,science,English,en,sciphy01,start.html?id=sciphy01&lang=en&grade=2,images/grade2/science/personal-hygiene-Gr-2-01.png
Hand washing,two,2,science,English,en,scihwa01,start.html?id=scihwa01&lang=en&grade=2,images/thumb/science/handwashing_gr_201.png
Electricity,two,2,science,English,en,scieln01,start.html?id=scieln01&lang=en&grade=2,images/thumb/science/electricity_thumbnail_inner01.png
Magnets,two,2,science,English,en,scinmg01,start.html?id=scinmg01&lang=en&grade=2,images/grade2/science/magnets_thumbnail.png
Heat and light,two,2,science,English,en,scihal01,start.html?id=scihal01&lang=en&grade=2,images/grade2/science/heat_and_light1.png
Shadow,two,2,science,English,en,scishd01,start.html?id=scishd01&lang=en&grade=2,images/thumb/science/shadow-Gr-201.png
Day And Night,two,2,science,English,en,scidan01,start.html?id=scidan01&lang=en&grade=2,images/thumb/science/day_and_night-Gr-201.png
Colours of Sunlight,two,2,science,English,en,scicos01,start.html?id=scicos01&lang=en&grade=2,images/thumb/science/colours_of_sunlight-Gr-201.png
Good Habits,two,2,science,English,en,sciash01,start.html?id=sciash01&lang=en&grade=2,images/thumb/science/asal_bani_thumb.png
First Aid,two,2,science,English,en,scifan01,start.html?id=scifan01&lang=en&grade=2,images/thumb/science/first_aid.png
Our Safety,two,2,science,English,en,sciost01,start.html?id=sciost01&lang=en&grade=2,images/thumb/science/our_safety_front_thumb.png
Foods from animals and plants,two,2,science,English,en,scifap01,start.html?id=scifap01&lang=en&grade=2,images/thumb/science/foods-from-animals-and-plants-Gr-201.png
Characteristics of animals,two,2,science,English,en,scianm01,start.html?id=scianm01&lang=en&grade=2,images/grade2/science/characteristics-of-animals-Gr-2-01.png
